CompetitorId;CompetitorName;FirstName;LastName;Gender;Age;CountryCode;RegionId;RegionalName;Profession;Height_cm;Weight_kg;AffiliateId;AffiliateName;DivisionId;RegionName;RegionCode;RegionalCode;TeamCaptain;CountryOfOriginCode;BackSquat_kg;CleanAndJerk_kg;Snatch_kg;DeadLift_kg;FightGoneBad;MaxPullUps;Fran;Grace;Helen;Filthy50;Sprint400m;Rn5k
698210;Karin Freyová;Karin;Freyová;F;24;null;0;null;0;161.93999;73.02831;44724;CrossFit Alpha Prime;02;;;;0;SK;125;105;90;160;--;--;--;--;--;--;--;--
444527;Landy Pui Boon Eng;Landy Pui Boon;Eng;F;30;null;0;null;0;157.93999;59.874146;44712;CrossFit Mobilus;02;;;;0;SG;100;60;50;110;--;--;4:42;--;--;--;--;--
667707;Ksenija Kecman;Ksenija;Kecman;F;30;null;0;null;0;164.93999;68.945984;44690;Tantum CrossFit;02;;;;0;BA;115;92;77;145;--;--;--;--;--;--;--;--
683305;Sara Alicia Fernandez Costas;Sara Alicia;Fernandez Costas;F;29;null;0;null;0;156.93999;63.95647;44727;CrossFit Norte Redondela;02;;;;0;ES;--;--;--;--;--;--;--;--;--;--;--;--
661943;Keshini Vitharana;Keshini;Vitharana;F;22;null;0;null;0;7.54;58.96696;44728;CrossFit Ceylon;02;;;;0;LK;--;--;--;--;--;--;--;--;--;--;--;--
586509;Nina Juna;Nina;Juna;F;27;null;0;null;0;156.93999;59.874146;44730;Reebok CrossFit 673;02;;;;0;BN;--;--;--;--;--;--;--;--;--;--;--;22:24
120480;Kristin Holte;Kristin;Holte;F;33;null;0;null;0;158.93999;58.96696;44731;CrossFit Oslo;02;;;;0;NO;138;102;79;150;406;42;2:24;1:55;--;18:16;1:01;19:30
687711;Gabriela Perez;Gabriela;Perez;F;28;null;0;null;0;160.93999;61.23492;null;null;02;;;;0;HN;124.7378;95.25432;79.3786;133.80965;--;--;--;--;--;--;--;--
456619;Oana Catalina Chelmus;Oana Catalina;Chelmus;F;32;null;0;null;0;157.93999;59.874146;null;null;02;;;;0;RO;--;--;65;--;--;55;2:30;--;--;--;--;--
534577;Melina Rodriguez;Melina;Rodriguez;F;23;null;0;null;0;155.93999;62.595695;null;null;02;;;;0;AR;--;--;--;--;--;--;--;--;--;--;--;--
39517;Emilia Leppanen;Emilia;Leppanen;F;32;null;0;null;0;159.93999;68.0388;44725;CrossFit Kreis 9;02;;;;0;FI;--;--;--;--;--;--;--;--;--;--;--;--
299053;Jacqueline Dahlstrøm;Jacqueline;Dahlstrøm;F;27;null;0;null;0;160.93999;67.131615;44735;C23 CrossFit;02;;;;0;NO;--;--;--;--;--;--;--;--;--;--;--;--
855131;Nicole Pettel;Nicole;Pettel;F;27;null;0;null;0;157.93999;68.0388;44740;CrossFit White City;02;;;;0;IL;151.95332;88.45044;--;170.097;--;--;--;--;--;--;--;--
477570;Kristen Lim;Kristen;Lim;F;26;null;0;null;0;158.93999;66.678024;44742;Avant Garde CrossFit;02;;;;0;PH;113.398;97.52228;79.3786;149.68536;334;10;3:50;3:01;12:02;--;2:00;32:46
685943;Tatiana Diakou;Tatiana;Diakou;F;19;null;0;null;0;159.93999;68.0388;44744;Mad Hall CrossFit;02;;;;0;BY;--;--;--;--;--;--;--;--;--;--;--;--
1037933;Sanaa Mandar;Sanaa;Mandar;F;31;null;0;null;0;159.93999;65.77084;44745;CrossFit Ain Diab;02;;;;0;MA;--;--;--;--;--;--;--;--;--;--;--;--
1176528;Trang Nguyen;Trang;Nguyen;F;27;null;0;null;0;157.93999;57.15259;44746;CrossFit Thao Dien;02;;;;0;VN;--;--;--;--;--;--;--;--;--;--;--;--
737357;Martha Berrocal;Martha;Berrocal;F;32;null;0;null;0;158.93999;58.059776;44748;Barra Norte CrossFit;02;;;;0;BO;120;85;67;130;--;--;--;--;--;--;--;--
1218177;Cingiwe Ciegy Seru;Cingiwe Ciegy;Seru;F;35;null;0;null;0;157.93999;63.04929;44749;CrossFit Gaborone;02;;;;0;BW;90;55;--;125;--;--;4:42;5:31;12:57;34:32;--;--
349097;Danielle Brandon;Danielle;Brandon;F;23;null;0;null;0;161.93999;68.0388;44754;CrossFit Envy;02;;;;0;US;--;--;86.18248;--;--;--;--;--;--;--;--;--
350442;Neyran Guneli;Neyran;Guneli;F;37;null;0;null;0;161.93999;68.0388;44759;CrossFit SkyLight;02;;;;0;TR;--;--;--;--;--;--;--;--;--;--;--;--
1243131;Miriam Torra Sola;Miriam Torra;Sola;F;25;null;0;null;0;161.93999;63.95647;44721;La Borda CrossFit;02;;;;0;AD;--;--;--;--;--;--;--;--;--;--;--;--
1280595;Ava Zalman;Ava;Zalman;F;17;null;0;null;0;160.93999;62.142105;44763;Rock CrossFit Paramaribo;02;;;;0;SR;90.7184;74.84268;61.23492;136.0776;--;25;--;--;--;--;1:37;20:59
517771;Marisol Umana;Marisol;Umana;F;35;null;0;null;0;154.93999;57.15259;44764;Morpho CrossFit;02;;;;0;CR;136.0776;90.7184;68.0388;147.4174;--;--;2:14;--;--;--;--;--
1521928;Tamara Trumbetaš;Tamara;Trumbetaš;F;23;null;0;null;0;158.93999;64.863655;null;null;02;;;;0;RS;--;--;--;--;--;--;--;--;--;--;--;--
18588;Annie Thorisdottir;Annie;Thorisdottir;F;29;null;0;null;0;161.93999;68.945984;44767;CrossFit Reykjavík;02;;;;0;IS;125;108;92;170;460;80;2:37;1:20;--;15:07;107:00;--
671201;Patricia Trujillo;Patricia;Trujillo;F;44;null;0;null;0;135.45999;52.163082;44769;CrossFit Fortaleza;02;;;;0;SV;99.79024;70.30676;47.62716;113.398;--;--;--;--;--;--;--;--
120265;Tamara Zulim;Tamara;Zulim;F;35;null;0;null;0;161.93999;59.874146;null;null;02;;;;0;HR;--;--;--;--;--;--;--;--;--;--;--;--
